a_etage,cheminee,classification_f,cuve_eau,douche_wc,etat_general,garage_ferme,gardien_securite,groupe_electrogene,loyer_mensuel,meuble,nombre_chambres,nombre_salles_eau,piscine,quartier,superficie,surface_terrain,terrasse_balcon,type_d_acces,type_logement,nom_quartier,id_quartier
False,False,F5,False,interieur,bon,False,False,False,1800000.0,False,4,2.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,143.0
False,False,F5,False,interieur,bon,False,False,False,1800000.0,False,4,2.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,499.0
False,False,F5,False,interieur,bon,False,False,False,1800000.0,False,4,2.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,550.0
False,False,F5,True,interieur,bon,False,False,True,7500000.0,True,4,4.0,False,ambatobe,0.0,0.0,True,voiture,Villa,ambatobe,143.0
False,False,F5,True,interieur,bon,False,False,True,7500000.0,True,4,4.0,False,ambatobe,0.0,0.0,True,voiture,Villa,ambatobe,499.0
False,False,F5,True,interieur,bon,False,False,True,7500000.0,True,4,4.0,False,ambatobe,0.0,0.0,True,voiture,Villa,ambatobe,550.0
False,False,F3,False,interieur,bon,False,False,False,500000.0,False,2,1.0,False,betongolo,0.0,0.0,True,sans,Appartement,betongolo,92.0
True,False,F5,False,interieur,bon,True,True,False,20000000.0,False,4,5.0,True,ivandry,0.0,0.0,True,voiture_avec_parking,Villa,ivandry,139.0
False,False,F2,False,interieur,bon,False,True,False,2000000.0,True,1,1.0,False,ambohitsorohitra,0.0,0.0,True,voiture_avec_parking,Appartement,,
False,False,F4,True,interieur,bon,False,False,False,3000000.0,True,3,2.0,False,ivato aeroport,0.0,0.0,False,voiture_avec_parking,Villa,ivato aeroport,462.0
False,True,F5,False,interieur,bon,False,False,False,5000000.0,False,4,3.0,False,ivandry,0.0,0.0,True,voiture_avec_parking,Villa,ivandry,139.0
False,True,F5,True,interieur,bon,False,False,False,6250000.0,False,4,3.0,False,soavimasoandro,0.0,0.0,True,voiture_avec_parking,Villa,soavimasoandro,135.0
False,False,F8,True,interieur,bon,False,False,True,7500000.0,True,3,3.0,False,mangarano,0.0,0.0,False,voiture_avec_parking,Villa,mangarano,531.0
False,True,F6,False,interieur,bon,False,False,False,7500000.0,False,5,3.0,False,ambatobe,0.0,0.0,False,voiture,Villa,ambatobe,143.0
False,True,F6,False,interieur,bon,False,False,False,7500000.0,False,5,3.0,False,ambatobe,0.0,0.0,False,voiture,Villa,ambatobe,499.0
False,True,F6,False,interieur,bon,False,False,False,7500000.0,False,5,3.0,False,ambatobe,0.0,0.0,False,voiture,Villa,ambatobe,550.0
False,False,F4,False,interieur,bon,False,False,False,3000000.0,False,3,2.0,False,ankerana ankadindramamy,0.0,0.0,True,voiture,Villa,ankerana ankadindramamy,153.0
False,False,F4,True,interieur,bon,False,True,False,1400000.0,False,3,1.0,False,andraisoro,0.0,0.0,True,voiture_avec_parking,Appartement,andraisoro,159.0
False,False,F4,False,interieur,bon,False,False,False,2000000.0,False,3,1.0,False,soavimbahoaka,0.0,0.0,False,voiture_avec_parking,Appartement,soavimbahoaka,723.0
True,False,F6,True,interieur,bon,False,False,False,2000000.0,False,5,2.0,False,andraisoro,0.0,0.0,True,voiture_avec_parking,Appartement,andraisoro,159.0
False,False,F3,False,interieur,bon,False,True,False,1400000.0,False,2,1.0,False,mahazoarivo,0.0,0.0,True,voiture_avec_parking,Appartement,,
True,False,F5,False,interieur,bon,True,False,False,1300000.0,False,4,1.0,False,ambohijanaka,0.0,0.0,True,voiture_avec_parking,Villa,ambohijanaka,851.0
False,False,F5,False,interieur,bon,False,False,False,2000000.0,False,3,2.0,False,ambohijanaka,0.0,0.0,True,voiture_avec_parking,Villa,ambohijanaka,851.0
False,False,F4,True,interieur,bon,False,True,True,4100000.0,True,3,2.0,True,ilaivola,0.0,0.0,True,voiture_avec_parking,Appartement,ilaivola,459.0
False,False,F5,False,interieur,bon,False,True,False,2200000.0,False,4,2.0,False,ambohimiandra fenomanana antsa,0.0,0.0,True,voiture_avec_parking,Appartement,ambohimiandra fenomanana antsa,61.0
False,False,F4,True,interieur,bon,False,False,False,2000000.0,False,3,2.0,False,nanisana iadiambola,0.0,0.0,True,voiture_avec_parking,Appartement,nanisana iadiambola,152.0
False,False,F4,False,interieur,bon,False,False,True,2000000.0,False,3,2.0,False,analamahitsy cite,0.0,0.0,True,voiture_avec_parking,Appartement,analamahitsy cite,141.0
False,False,F5,False,interieur,bon,False,False,False,3900000.0,False,4,2.0,True,ivato aeroport,0.0,0.0,True,voiture_avec_parking,Appartement,ivato aeroport,462.0
False,False,F5,True,interieur,bon,False,False,False,3500000.0,False,4,4.0,False,ivandry,0.0,0.0,True,voiture_avec_parking,Villa,ivandry,139.0
False,False,F4,True,interieur,bon,False,False,False,900000.0,False,3,1.0,False,talatamaty,0.0,0.0,False,voiture_avec_parking,Appartement,talatamaty,434.0
False,False,F2,False,interieur,bon,False,False,False,2000000.0,False,1,1.0,True,alarobia,0.0,0.0,True,voiture_avec_parking,Appartement,alarobia,592.0
