"a_etage","cheminee","classification_f","cuve_eau","douche_wc","etat_general","garage_ferme","gardien_securite","groupe_electrogene","loyer_mensuel","meuble","nombre_chambres","nombre_salles_eau","piscine","quartier","superficie","surface_terrain","terrasse_balcon","type_d_acces","type_logement"
"False","False","F4","True","interieur","bon","False","False","False","2000000","False","3","2","False","Nanisana Iadiambola","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","False","True","2000000","False","3","2","False","Analamahitsy Cite","0","0","True","voiture_avec_parking","Appartement"
"False","False","F5","False","interieur","bon","False","False","False","3900000","False","4","2","True","Ivato Aeroport","0","0","True","voiture_avec_parking","Appartement"
"False","False","F5","True","interieur","bon","False","False","False","3500000","False","4","4","False","Ivandry","0","0","True","voiture_avec_parking","Villa"
"False","False","F4","True","interieur","bon","False","False","False","900000","False","3","1","False","Talatamaty","0","0","False","voiture_avec_parking","Appartement"
"False","False","F2","False","interieur","bon","False","False","False","2000000","False","1","1","True","Alarobia","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","False","False","3000000","True","3","2","True","Ankerana Ankadindramamy","0","0","False","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","False","True","True","4500000","False","3","2","True","Ambatobe","0","0","True","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","False","False","1200000","False","2","1","False","Alarobia Amboniloha","0","0","False","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","True","False","False","2400000","False","3","2","False","Ambohibao","0","0","True","voiture_avec_parking","Villa"
"False","True","F3","False","interieur","bon","False","False","False","1200000","True","2","2.0","False","Alasora","0","0","False","voiture_avec_parking","Villa"
"False","True","F4","True","interieur","bon","True","True","False","1700000","True","3","2.0","False","Ivato","0","0","False","voiture_avec_parking","Villa"
"True","False","F4","False","interieur","bon","False","False","False","5000000","True","3","2.0","False","Ambatobe","0","0","False","voiture_avec_parking","Villa"
"False","False","F2","False","interieur","bon","False","True","False","2500000","True","1","1.0","False","Ambatobe","0","0","True","voiture_avec_parking","Appartement"
"False","False","F5","False","interieur","bon","False","False","False","1500000","False","4","1.0","False","Ivandry","0","0","True","voiture_avec_parking","Maison"
"False","False","F5","False","interieur","bon","False","True","False","1540000","False","4","1.0","False","Nanisana Iadiambola","0","0","True","voiture_avec_parking","Maison"
"False","False","F3","True","interieur","bon","False","False","False","2950000","True","2","1.0","False","Ivandry","0","0","True","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","True","False","2500000","True","2","1.0","False","Alarobia Amboniloha","0","0","True","voiture_avec_parking","Appartement"
